RUBRO,AÑOMES,CONCEPTO,60 - BANCO MUNDO MUJER S.A.,52 - BANCAMÍA S.A.,53 - BANCO W S.A.,62 - MIBANCO S.A.,30 - BANCO CAJA SOCIAL S.A.
140805,202303,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,241.57281830000002,5.31288018,103.69801043000001,1.5407263400000002,3965.93042462
140805,202304,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,240.92752403999998,5.0196139,106.26984836,1.43974667,4022.40359144
140805,202305,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,242.21785891,4.73716149,110.06736251999999,1.27526418,4055.79015453
140805,202306,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,239.18379624000002,4.512413,109.37742954000001,1.19230831,4068.06351819
140805,202307,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,240.30892404,4.20119964,107.45422687,1.12819615,4114.321967880001
140805,202308,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,242.8414486,3.94488533,106.20486506,1.0176382,4186.70189701
140805,202309,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,245.06747814,3.6363752999999996,106.41166215999999,0.95479692,4281.82812418
140805,202310,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,245.03692737,3.38277882,106.64455594,0.8756674499999999,4325.972699770001
140810,202211,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,2.4992294900000003,0.14294688,5.48308356,0.06425174,56.739356640000004
140810,202212,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,2.85614523,0.1932646,5.95510283,0.07868528,59.11645696
140810,202301,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,2.71182842,0.22125210999999997,6.062253,0.04924607,62.6131829
140810,202302,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,2.58014133,0.19947860999999997,7.052622980000001,0.04358865,74.14926195999999
140810,202303,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,2.46610928,0.20154212,6.96500439,0.04017564,70.93456168
140810,202304,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,3.13720366,0.15515255,8.92211724,0.02939068,73.6347185
140810,202305,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,2.56563507,0.12508097,8.389767529999999,0.04853747,74.6737698
140810,202306,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,3.3139260299999997,0.04110829,9.47655448,0.06492237000000001,77.86173726000001
140810,202307,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,3.10450237,0.12711617,10.04692864,0.04810842,69.93929890999999
140810,202308,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,2.98077888,0.09377378,10.299276859999999,0.039875970000000004,73.21781236
140810,202309,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,3.22158246,0.15095265,10.19365319,0.02132319,80.19201273
140810,202310,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,3.21821333,0.11966481,10.96023117,0.0241489,81.83653442
140815,202211,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,1.99732363,0.08357553,0.12181958,0.11459403,42.24954557
140815,202212,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.0326158999999997,0.07232293,0.13724368,0.10542928,43.15160453
140815,202301,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.23626551,0.024790080000000003,0.23479984,0.12265991,46.50924924
140815,202302,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.1698936800000004,0.04385459,0.03405659,0.09457892,48.07964486
140815,202303,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.03918246,0.0463473,0.01798152,0.042782190000000005,48.14866628
140815,202304,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,1.95331128,0.054694099999999995,0.28168492,0.04371746,52.94225784
140815,202305,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.40562948,0.03222315,0.0121575,0.02091099,52.67785506
140815,202306,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.4075495,0.01373537,0.00715911,0.03438096,52.66283045
140815,202307,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.39531305,0.02620916,0.16427473,0.05083187,56.92304222
140815,202308,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.30261776,0.03211662,0.06332077,0.02217698,53.08139606
140815,202309,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.2793424300000003,0.03143863,0.010835899999999999,0.026847950000000002,53.562583200000006
140815,202310,CATEGORIA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEA,2.44935881,0.04094726,0.14598288,0.034524809999999996,61.31827841
140820,202211,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,2.94000051,0.14708429,1.44691848,0.25741336,28.74771578
140820,202212,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,5.40373603,0.00614558,0.97801777,0.22409885999999998,49.441530990000004
140820,202301,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,5.71972946,0.04015557,0.83258998,0.19973716,65.56564946
140820,202302,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,6.27844617,0.03471416,0.81995602,0.21277782,77.48925026
140820,202303,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,4.4554262300000005,0.03526601,1.2941856100000002,0.26512354,38.43757234
140820,202304,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,4.61537191,0.047333089999999994,1.5135546000000002,0.18150755,59.026609310000005
140820,202305,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,4.4010722,0.05667901,1.81544736,0.23133204999999998,79.65332436
140820,202306,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,7.316173099999999,0.07840907000000001,1.41688297,0.17562082,53.28737146
140820,202307,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,7.08933892,0.05048148,1.6444418799999998,0.16029682999999997,72.46608884999999
140820,202308,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,6.53637483,0.08676597999999999,1.56141347,0.14828935999999998,93.44309795000001
140820,202309,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,4.23128889,0.04680292,1.98960058,0.14242729,59.61661061
140820,202310,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,4.10659062,0.054838519999999995,1.63237523,0.10583445,75.45848787999999
140825,202211,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,4.77591519,0.15384812,1.8759708400000001,0.0375685,55.47526503
140825,202212,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.5345475499999996,0.12126751,1.69180227,0.03593343,58.120940159999996
140825,202301,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.38657788,0.13218247,1.78639449,0.05651414,61.20977828
140825,202302,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.54245641,0.13184239,1.80372349,0.050430699999999995,67.85730219
140825,202303,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,5.66033404,0.12954321000000002,1.92559572,0.03213294,59.516158090000005
140825,202304,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,6.06015722,0.09960067,1.95994536,0.08973202000000001,60.97089751
140825,202305,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,6.3785031100000005,0.12602356,1.9032768899999999,0.01791625,65.46449499
140825,202306,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,5.96363534,0.14965983,2.0573346,0.028524869999999997,60.43239442
140825,202307,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,5.94072476,0.14829577,2.2093963199999997,0.03843654,64.81963787
140825,202308,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,5.60750944,0.13902225,2.0636106,0.04586798,69.94535467
140825,202309,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,7.72416966,0.08987400999999999,2.28064029,0.0307103,64.73707089
140825,202310,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,7.72885743,0.05257206,2.73122212,0.05086857,73.65181306000001
141000,202211,CARTERA Y OPERACIONES DE LEASING COMERCIALES,350.52252533999996,147.59508075,175.36275113999997,358.75424059,2492.6923879299998
141000,202212,CARTERA Y OPERACIONES DE LEASING COMERCIALES,357.55615078,148.79975765999998,176.83852641,377.97701264999995,2433.89976606
141000,202301,CARTERA Y OPERACIONES DE LEASING COMERCIALES,358.33481157,147.2843563,175.94548521000002,382.15188675,2404.22334789
